gender,ages,category,rank,keyword,crawled_at
남성,30대,과자/베이커리,7,화과자,2025-10-26 17:58:36
남성,30대,과자/베이커리,8,추석선물,2025-10-26 17:58:36
남성,30대,과자/베이커리,9,두바이초콜릿,2025-10-26 17:58:36
남성,30대,과자/베이커리,10,결혼식답례품,2025-10-26 17:58:36
남성,40대,농산물,1,쌀20kg,2025-10-26 17:58:52
남성,40대,농산물,2,쌀10kg,2025-10-26 17:58:52
남성,40대,농산물,3,사과,2025-10-26 17:58:52
남성,40대,농산물,4,곶감,2025-10-26 17:58:52
남성,40대,농산물,5,귤,2025-10-26 17:58:52
남성,40대,농산물,6,무화과,2025-10-26 17:58:52
남성,40대,농산물,7,딸기,2025-10-26 17:58:52
남성,40대,농산물,8,고구마,2025-10-26 17:58:52
남성,40대,농산물,9,쌀,2025-10-26 17:58:52
남성,40대,농산물,10,수향미,2025-10-26 17:58:52
남성,40대,음료,1,생수,2025-10-26 17:58:52
남성,40대,음료,2,그릭요거트,2025-10-26 17:58:52
남성,40대,음료,3,얼박사,2025-10-26 17:58:52
남성,40대,음료,4,멸균우유,2025-10-26 17:58:52
남성,40대,음료,5,카누,2025-10-26 17:58:52
남성,40대,음료,6,두유,2025-10-26 17:58:52
남성,40대,음료,7,탄산수,2025-10-26 17:58:52
남성,40대,음료,8,로스터릭,2025-10-26 17:58:52
남성,40대,음료,9,삼다수,2025-10-26 17:58:52
남성,40대,음료,10,나랑드사이다,2025-10-26 17:58:52
남성,40대,과자/베이커리,1,두바이쫀득쿠키,2025-10-26 17:58:52
남성,40대,과자/베이커리,2,칸쵸,2025-10-26 17:58:52
남성,40대,과자/베이커리,3,화과자,2025-10-26 17:58:52
남성,40대,과자/베이커리,4,할로윈사탕,2025-10-26 17:58:52
남성,40대,과자/베이커리,5,두바이초콜릿,2025-10-26 17:58:52
남성,40대,과자/베이커리,6,메롱바,2025-10-26 17:58:52
남성,40대,과자/베이커리,7,빼빼로,2025-10-26 17:58:52
